encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,1194.6666666666667,4.666666666666667,640,3,1877.3333333333333,4.0,5.333333333333333,2.0,9.922519326210022,236.7689162492752,0.13167024810744782,12.7322462760344
640,6,1109.3333333333333,6.333333333333333,512,1,512.0,8.0,8.0,2.0,8.712291717529297,110.491544008255,0.04286108626914338,1.9764905148359304
512,6,1536.0,3.3333333333333335,640,3,1024.0,4.0,4.0,2.0,9.519174695014954,215.15774726867676,0.028688195255228623,7.823612603866664
512,6,1450.6666666666667,4.666666666666667,512,6,1706.6666666666667,4.666666666666667,2.0,2.5,9.356081485748291,391.21225476264954,0.02879792722026079,5.885731093241256
512,6,1962.6666666666667,7.0,512,2,2048.0,6.0,8.0,2.5,9.042128920555115,152.42858231067657,0.027545210608781026,1.1133542941013586
640,6,1962.6666666666667,5.666666666666667,512,4,1280.0,4.0,4.0,2.5,9.606748819351196,263.3041888475418,0.3445862708727182,7.071401206458313
512,6,1280.0,3.3333333333333335,512,4,2048.0,6.5,3.0,2.0,8.91086459159851,255.79461455345154,0.19142391261441555,1.9395046384773766
640,6,1365.3333333333333,3.6666666666666665,512,2,1792.0,6.0,8.0,3.0,9.984582662582397,167.96143352985382,0.5679692471271364,8.948546653295399
640,6,2901.3333333333335,3.3333333333333335,640,6,2048.0,5.333333333333333,2.6666666666666665,2.0,11.80344820022583,403.3893048763275,0.5731231951507527,13.453398822504324
640,6,2474.6666666666665,4.666666666666667,640,1,1024.0,8.0,8.0,2.0,9.948298335075378,106.92727565765381,0.03971666568491135,1.8268845695836982
640,6,1877.3333333333333,4.0,512,2,2048.0,2.0,8.0,2.5,9.819522500038147,155.66127002239227,0.25593130172642037,1.094537071943883
512,6,1706.6666666666667,3.3333333333333335,512,1,1024.0,2.0,4.0,3.0,8.85862112045288,108.19683969020844,0.07311201553674614,7.95875254572668
640,6,1877.3333333333333,3.6666666666666665,640,2,512.0,2.0,8.0,1.5,10.547533631324768,158.1406146287918,0.06693094544883361,8.054662464761728
512,6,1621.3333333333333,5.666666666666667,640,5,1024.0,5.6,5.2,1.6,8.79409909248352,312.7133399248123,0.04065761010475979,10.131129454980613
640,6,1792.0,3.6666666666666665,512,2,1792.0,3.0,3.0,2.0,10.461091995239258,152.6089459657669,0.01833770583049649,3.642028215017533
640,6,1962.6666666666667,4.333333333333333,512,5,1638.4,4.4,2.8,2.2,10.324880480766296,317.83947348594666,0.44153250697177476,3.7826799448890442
512,6,2304.0,5.333333333333333,640,6,2304.0,5.333333333333333,5.0,1.8333333333333333,9.355977177619934,392.51598715782166,0.19014317443896936,9.451007399293358
512,6,1706.6666666666667,2.6666666666666665,512,5,2150.4,6.0,5.6,1.8,9.435012936592102,312.4845027923584,0.07860746419490493,8.127037702729659
512,6,1109.3333333333333,5.666666666666667,512,6,1536.0,4.666666666666667,7.0,1.8333333333333333,8.343130350112915,356.4820736646652,0.13624262958409608,1.1990726794496305
640,6,2218.6666666666665,3.6666666666666665,640,6,1450.6666666666667,4.666666666666667,4.0,2.3333333333333335,9.70323383808136,384.85975563526154,0.017036029098564203,7.56689755741527
640,6,1280.0,3.0,640,5,2355.2,5.6,2.0,2.4,9.054452180862427,340.54502844810486,0.0965452799989633,2.588524450767385
512,6,1450.6666666666667,3.3333333333333335,512,1,1024.0,8.0,4.0,1.0,8.602380752563477,96.64994478225708,0.04062623904803035,7.390404004945604
640,6,1621.3333333333333,5.333333333333333,640,6,2133.3333333333335,6.0,4.666666666666667,1.8333333333333333,11.875331401824951,382.4402093887329,0.02968329262966418,1.6696260929465765
512,6,1280.0,2.0,640,5,2048.0,5.2,5.2,2.4,9.257614612579346,332.34095573425293,0.04191715449020806,1.9634827608216965
512,6,1962.6666666666667,4.0,640,4,1152.0,5.5,4.5,1.5,10.546013712882996,265.5624598264694,1.405175355980865,8.392614877450209
512,6,2218.6666666666665,5.333333333333333,640,2,1536.0,6.0,8.0,1.5,9.212076663970947,163.69454562664032,0.029904369641563556,8.126215631508348
640,6,1706.6666666666667,4.0,640,6,2304.0,5.666666666666667,3.3333333333333335,2.1666666666666665,9.369522333145142,395.2806740999222,0.07330575929892692,5.719452746422541
640,6,2218.6666666666665,4.666666666666667,640,2,1792.0,5.0,6.0,2.0,9.844169020652771,163.27691078186035,0.14257929310291625,2.127269555792352
640,6,1450.6666666666667,5.333333333333333,512,3,1365.3333333333333,2.6666666666666665,4.666666666666667,2.0,9.12901759147644,200.26537775993347,0.15191604264437808,1.7031978337921887
640,6,1962.6666666666667,5.0,640,2,1536.0,6.0,6.0,2.5,9.73460078239441,166.524276137352,0.33437434223058626,5.2923563260456294
640,6,1621.3333333333333,4.0,640,1,2048.0,8.0,4.0,1.0,9.161800146102905,106.01498186588287,0.057589924809197314,0.7371482429481171
512,6,1109.3333333333333,6.333333333333333,512,2,2560.0,6.0,3.0,2.0,8.307963609695435,158.8836908340454,0.029263983735924284,7.5813729301622175
640,6,1706.6666666666667,4.333333333333333,640,1,1024.0,4.0,8.0,2.0,9.309202432632446,105.78745603561401,0.02913440344267574,1.0768332977625503
640,6,1621.3333333333333,4.333333333333333,640,6,1365.3333333333333,4.666666666666667,4.0,2.5,9.431496262550354,384.1298371553421,0.2246631340583924,6.235781279666605
640,6,1621.3333333333333,3.3333333333333335,512,4,1280.0,4.0,4.0,1.75,12.037932872772217,257.48111307621,0.035708157219817134,7.849251032898776
640,6,1706.6666666666667,6.0,640,5,1433.6,4.0,4.8,1.6,9.3766450881958,315.3986185789108,0.034191668195641,1.7645030947332487
640,6,1792.0,3.6666666666666665,512,2,1792.0,8.0,6.0,2.0,9.44538414478302,162.45132684707642,0.022640229205160737,16.492437603878308
512,6,1365.3333333333333,5.666666666666667,512,1,3072.0,8.0,4.0,2.0,8.694261312484741,102.51244902610779,0.1879723715877282,5.280658512625289
640,6,1536.0,3.6666666666666665,512,4,896.0,5.0,4.0,1.5,9.111583232879639,239.36958611011505,0.07171211652887523,1.7390302829863058
512,6,1706.6666666666667,6.0,640,5,1740.8,5.2,4.0,2.4,8.913308382034302,330.1364481449127,0.09347779071414464,7.028329669658865
640,6,1365.3333333333333,6.0,512,5,2048.0,6.0,4.8,2.2,9.078428149223328,316.9764429330826,0.1541463863156628,5.057925687422594
640,6,1962.6666666666667,3.3333333333333335,512,2,1792.0,8.0,4.0,3.0,9.546205401420593,156.50324523448944,0.04836091229559628,1.671856146246
640,6,1706.6666666666667,4.0,640,3,1365.3333333333333,4.666666666666667,4.666666666666667,1.0,9.24694538116455,201.60947740077972,0.026750867377826643,1.095311111855308
512,6,938.6666666666666,4.666666666666667,512,3,2048.0,2.0,6.666666666666667,2.0,8.12588632106781,206.07240498065948,0.03128079569593186,2.6886890636634333
640,6,1877.3333333333333,4.333333333333333,640,2,1536.0,3.0,3.0,3.0,9.745404124259949,165.01259803771973,0.34333900219030633,1.4122498303291342
512,6,1962.6666666666667,6.333333333333333,512,1,512.0,8.0,4.0,3.0,9.043321013450623,101.72288119792938,0.03999644600768529,8.126569742914553
512,6,1365.3333333333333,3.3333333333333335,640,5,1843.2,4.8,5.2,1.6,8.595064282417297,315.8315569162369,0.14561681189574788,2.729407146487135
512,6,2048.0,4.0,512,6,2133.3333333333335,4.0,6.0,2.0,9.111687541007996,367.6508665084839,0.03401177230410767,9.90605087157611
640,6,1280.0,5.333333333333333,512,6,1194.6666666666667,3.3333333333333335,3.3333333333333335,2.0,8.913204073905945,388.62885534763336,0.06586961685976721,27.559806449222144
640,6,1792.0,5.0,512,5,1433.6,4.0,4.4,2.2,9.391769766807556,307.5961470603943,0.16284491763613868,1.248052952064404
640,6,1877.3333333333333,6.0,512,6,938.6666666666666,3.3333333333333335,2.3333333333333335,1.6666666666666667,9.376496076583862,345.3453779220581,0.0238588205732896,1.6379151215476015
512,6,1792.0,4.666666666666667,512,1,1024.0,2.0,4.0,3.0,9.176462888717651,98.00577163696289,0.3398323146710091,0.6883158985604068
512,6,2730.6666666666665,3.0,640,4,1920.0,4.0,3.0,2.25,9.684383869171143,279.52077984809875,0.054249756101711885,8.035586136686828
640,6,2218.6666666666665,5.333333333333333,512,2,2048.0,6.0,2.0,2.0,9.786725044250488,158.60871970653534,0.04558364338107137,5.467654997216625
640,6,1621.3333333333333,2.6666666666666665,640,4,1920.0,5.5,4.5,1.75,9.362801909446716,284.059002995491,0.36023198138778123,14.459399927088777
640,6,1792.0,4.333333333333333,640,5,1433.6,4.0,4.0,1.8,10.528355836868286,320.8227902650833,0.07388369591944768,5.7126927934106035
512,6,1365.3333333333333,6.0,512,4,2048.0,3.0,6.5,1.5,8.491799235343933,251.52762234210968,0.027180792285107443,1.5975147552616837
512,6,2218.6666666666665,4.666666666666667,640,2,1280.0,2.0,3.0,3.0,9.26622748374939,165.1533544063568,0.02424420300039595,5.688038688357675
640,6,1536.0,4.0,640,6,1536.0,4.0,5.666666666666667,1.6666666666666667,10.346278548240662,391.10085368156433,0.5883185147793166,26.71526152594088
640,6,1280.0,4.666666666666667,640,5,2355.2,6.4,5.2,2.4,9.220883250236511,349.28280115127563,0.19643457820852617,7.471854767357842
512,6,1365.3333333333333,4.0,640,1,1024.0,2.0,8.0,3.0,8.583277463912964,121.84754014015198,0.045027423415811924,6.19478852323748
640,6,1621.3333333333333,6.333333333333333,512,5,1536.0,4.0,4.0,1.6,9.275257587432861,305.05965650081635,0.040683172013882885,5.346733898484137
512,6,1450.6666666666667,4.333333333333333,512,5,921.6,3.6,4.8,1.8,9.104311466217041,296.2391525506973,0.035224832221527384,1.8968087903847208
512,6,1792.0,3.3333333333333335,640,1,1024.0,2.0,2.0,3.0,8.84614884853363,109.81908440589905,0.02477617734156378,2.2803631774735713
640,6,2560.0,5.333333333333333,640,5,1638.4,6.0,5.6,1.8,10.152414441108704,328.7319540977478,0.26082256636748186,15.714214837183608
