encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,2304.0,5.0,512,1,1024.0,2.0,8.0,1.0,237.66803741455078,3746.8435764312744,0.36025047302246094,6.628751754760742
512,6,1621.3333333333333,6.0,512,2,2048.0,5.0,5.0,2.0,198.3499526977539,4738.9843463897705,11.286258697509766,7.568359375
512,6,1621.3333333333333,5.0,640,6,2048.0,6.666666666666667,4.0,1.8333333333333333,198.8142728805542,9295.196890830994,11.362671852111816,81.91978931427002
640,6,1877.3333333333333,6.0,512,1,2048.0,8.0,2.0,2.0,230.726957321167,3929.2075634002686,10.340213775634766,5.543231964111328
512,6,1621.3333333333333,6.0,512,2,1792.0,6.0,6.0,2.0,203.72045040130615,4698.37212562561,20.777583122253418,14.241218566894531
640,6,1706.6666666666667,5.333333333333333,512,1,2048.0,2.0,8.0,3.0,217.96846389770508,4001.063823699951,0.7696151733398438,13.024091720581055
640,6,1962.6666666666667,5.0,512,6,1792.0,5.666666666666667,3.6666666666666665,1.6666666666666667,248.11112880706787,7710.650682449341,7.770180702209473,6.88624382019043
512,6,1962.6666666666667,5.333333333333333,640,3,682.6666666666666,8.0,4.0,1.6666666666666667,197.11458683013916,5806.503534317017,1.0744333267211914,32.22846984863281
512,6,1536.0,4.333333333333333,640,2,1536.0,5.0,5.0,2.0,180.79984188079834,5483.847498893738,0.7818937301635742,5.6143999099731445
512,6,1024.0,5.666666666666667,512,1,3072.0,4.0,8.0,3.0,154.44648265838623,4157.283902168274,3.921627998352051,19.348978996276855
512,6,1536.0,5.0,640,1,3072.0,4.0,4.0,1.0,270.78747749328613,4807.573437690735,73.06313514709473,8.875727653503418
512,6,1621.3333333333333,3.6666666666666665,640,6,1024.0,4.0,6.666666666666667,2.1666666666666665,179.78954315185547,8298.472166061401,3.698110580444336,35.574913024902344
640,6,1877.3333333333333,3.3333333333333335,640,2,1792.0,4.0,4.0,2.0,233.83796215057373,5492.035984992981,6.024956703186035,13.28122615814209
512,6,1536.0,5.0,640,4,1664.0,6.5,4.5,1.25,185.86063385009766,7096.434712409973,5.946159362792969,12.570023536682129
512,6,2389.3333333333335,5.333333333333333,512,2,768.0,2.0,6.0,2.0,219.99943256378174,4382.346153259277,10.569930076599121,8.126974105834961
512,6,1962.6666666666667,4.666666666666667,512,1,3072.0,8.0,2.0,1.0,229.47800159454346,4020.068407058716,7.390856742858887,9.640932083129883
640,6,2133.3333333333335,4.666666666666667,512,3,1536.0,4.0,5.333333333333333,2.0,250.98681449890137,5364.080309867859,21.579980850219727,10.065913200378418
640,6,1109.3333333333333,3.3333333333333335,512,6,1365.3333333333333,5.333333333333333,5.0,1.8333333333333333,226.4944314956665,7420.151591300964,43.003201484680176,38.91623020172119
640,6,1706.6666666666667,4.666666666666667,512,3,1536.0,2.6666666666666665,4.666666666666667,2.0,225.7826328277588,5314.170002937317,7.086277008056641,4.150509834289551
512,6,1962.6666666666667,3.3333333333333335,640,4,2560.0,5.5,4.0,1.75,274.72519874572754,7770.524859428406,82.69572257995605,61.39481067657471
512,6,2218.6666666666665,3.6666666666666665,512,1,2048.0,2.0,4.0,3.0,208.66644382476807,3990.3922080993652,1.6471147537231445,13.66281509399414
512,6,1962.6666666666667,3.0,640,4,1792.0,3.0,4.5,1.5,194.17250156402588,7177.936792373657,1.1185407638549805,7.842779159545898
512,6,2218.6666666666665,2.6666666666666665,512,3,1194.6666666666667,4.666666666666667,3.3333333333333335,2.0,216.10069274902344,5166.973233222961,8.872509002685547,12.83729076385498
640,6,1877.3333333333333,4.333333333333333,512,6,1450.6666666666667,6.0,6.666666666666667,2.3333333333333335,236.96911334991455,7601.104855537415,13.571381568908691,25.276780128479004
512,6,1536.0,3.6666666666666665,640,5,2252.8,3.6,4.4,1.8,206.573486328125,8488.087058067322,20.12181282043457,16.717076301574707
512,6,1365.3333333333333,5.666666666666667,512,6,938.6666666666666,5.0,4.666666666666667,2.5,171.31435871124268,7148.795962333679,2.7326345443725586,11.99185848236084
640,6,1194.6666666666667,4.0,640,3,1365.3333333333333,4.666666666666667,2.0,2.6666666666666665,209.20038223266602,6255.6188106536865,20.143985748291016,0.888824462890625
640,6,1706.6666666666667,4.333333333333333,512,4,1536.0,4.0,6.5,1.75,214.79344367980957,6104.214191436768,4.35328483581543,77.44884490966797
512,6,768.0,5.0,512,5,1536.0,4.0,4.0,2.4,148.6353874206543,6880.335092544556,1.7676353454589844,71.1824893951416
512,6,1536.0,4.666666666666667,640,1,1024.0,2.0,8.0,3.0,175.58979988098145,4614.546418190002,1.8377304077148438,50.68647861480713
640,6,1621.3333333333333,4.666666666666667,640,3,2730.6666666666665,8.0,4.666666666666667,1.6666666666666667,206.88199996948242,6894.746422767639,1.6396045684814453,21.715998649597168
512,6,1962.6666666666667,4.0,512,1,2048.0,4.0,4.0,1.0,352.4796962738037,3957.645893096924,31.281709671020508,1.268148422241211
640,6,1365.3333333333333,4.333333333333333,640,3,1706.6666666666667,4.666666666666667,5.333333333333333,1.6666666666666667,203.79722118377686,6373.034715652466,1.4663934707641602,2.276182174682617
512,6,1877.3333333333333,4.666666666666667,512,2,1280.0,6.0,3.0,2.0,187.60216236114502,4628.78942489624,4.619002342224121,75.17886161804199
640,6,1962.6666666666667,5.0,640,5,1843.2,3.2,4.0,2.2,227.1345853805542,8269.32168006897,1.6406774520874023,19.343852996826172
512,6,1365.3333333333333,4.666666666666667,512,1,1024.0,4.0,8.0,3.0,180.73904514312744,3872.904419898987,5.597949028015137,29.296278953552246
640,6,2304.0,4.333333333333333,640,3,1536.0,6.666666666666667,6.0,3.0,244.33541297912598,6442.898273468018,1.978158950805664,49.23129081726074
640,6,1365.3333333333333,3.6666666666666665,512,2,1536.0,2.0,4.0,2.5,211.5253210067749,4748.566031455994,12.636303901672363,98.86276721954346
512,6,2133.3333333333335,5.0,640,5,2048.0,3.2,5.6,2.6,282.2237014770508,8469.658136367798,58.82096290588379,17.46654510498047
512,6,2304.0,2.3333333333333335,640,3,1536.0,3.3333333333333335,8.0,2.0,209.08331871032715,6277.3274183273315,3.226041793823242,10.900616645812988
640,6,2304.0,5.0,512,3,1194.6666666666667,2.6666666666666665,4.0,1.6666666666666667,260.47635078430176,5217.344045639038,2.1800994873046875,57.2514533996582
512,6,1877.3333333333333,5.666666666666667,640,2,768.0,2.0,6.0,1.0,202.70442962646484,5127.937197685242,6.317853927612305,3.813624382019043
640,6,1877.3333333333333,2.6666666666666665,512,4,1792.0,4.0,5.5,1.5,299.965500831604,6155.2993059158325,8.625388145446777,40.83216190338135
640,6,1280.0,4.0,512,3,1536.0,4.666666666666667,4.0,2.3333333333333335,195.2071189880371,5451.03120803833,3.6084651947021484,8.646011352539062
640,6,1109.3333333333333,4.666666666666667,640,1,3072.0,2.0,8.0,2.0,186.4110231399536,4860.972762107849,2.482771873474121,24.135708808898926
512,6,1792.0,5.0,640,5,2048.0,5.2,4.4,2.0,213.4917974472046,8370.363235473633,27.49049663543701,50.73189735412598
512,6,1877.3333333333333,5.0,640,6,1877.3333333333333,3.3333333333333335,5.0,2.0,195.64402103424072,9218.709945678711,2.87020206451416,72.98517227172852
512,6,1962.6666666666667,5.333333333333333,512,2,2560.0,6.0,8.0,2.5,209.8989486694336,4920.9922552108765,1.7685890197753906,3.448367118835449
512,6,1706.6666666666667,4.666666666666667,512,2,1536.0,8.0,6.0,1.5,178.78878116607666,4552.003502845764,0.27430057525634766,5.693793296813965
640,6,1536.0,5.666666666666667,512,3,2730.6666666666665,6.0,8.0,2.6666666666666665,205.6725025177002,5941.613554954529,0.4322528839111328,4.863858222961426
512,6,1621.3333333333333,4.333333333333333,640,4,1280.0,3.0,7.0,2.5,187.91711330413818,7020.9842920303345,0.7816553115844727,60.311198234558105
640,6,2218.6666666666665,3.3333333333333335,640,1,512.0,4.0,4.0,3.0,241.94467067718506,4477.349281311035,6.589531898498535,15.97285270690918
512,6,1621.3333333333333,3.6666666666666665,512,5,2048.0,4.4,5.2,1.4,193.60852241516113,7076.4487981796265,7.576227188110352,37.06943988800049
640,6,2048.0,3.6666666666666665,512,2,1792.0,5.0,2.0,2.5,232.86092281341553,4769.9830532073975,2.022862434387207,11.693239212036133
640,6,2048.0,4.666666666666667,512,3,1194.6666666666667,6.0,6.666666666666667,2.6666666666666665,248.57330322265625,5271.455883979797,15.864849090576172,2.311587333679199
640,6,1877.3333333333333,6.666666666666667,512,2,1536.0,5.0,5.0,2.5,226.1422872543335,4667.731285095215,1.008152961730957,11.307477951049805
640,6,2218.6666666666665,6.0,512,2,1792.0,5.0,2.0,3.0,241.58596992492676,4711.236953735352,2.0644664764404297,3.8089752197265625
640,6,2048.0,4.666666666666667,512,4,1280.0,3.5,4.0,1.75,245.208740234375,5925.1991510391235,0.7708072662353516,17.79019832611084
512,6,2218.6666666666665,3.0,512,6,1536.0,6.333333333333333,4.0,2.0,206.65621757507324,7566.1301612854,3.7038326263427734,3.2215118408203125
512,6,1792.0,5.666666666666667,512,5,1740.8,2.4,5.2,2.0,195.52266597747803,6923.722982406616,1.602768898010254,11.254310607910156
512,6,1621.3333333333333,4.333333333333333,512,3,1706.6666666666667,5.333333333333333,8.0,2.3333333333333335,192.63410568237305,5441.056251525879,6.030559539794922,1.9075870513916016
640,6,1450.6666666666667,4.0,640,5,1331.2,5.6,3.6,1.6,199.92423057556152,7750.034928321838,4.503488540649414,22.933363914489746
512,6,1706.6666666666667,3.3333333333333335,640,3,1194.6666666666667,4.666666666666667,2.6666666666666665,1.6666666666666667,183.945894241333,6081.107139587402,0.2617835998535156,39.846181869506836
640,6,1962.6666666666667,7.333333333333333,512,2,1280.0,5.0,3.0,1.5,228.04856300354004,4502.118110656738,3.22723388671875,7.337093353271484
640,6,1280.0,4.333333333333333,640,5,1536.0,4.4,2.8,2.4,192.45851039886475,8032.775282859802,3.643631935119629,14.892220497131348
512,6,2389.3333333333335,4.666666666666667,512,5,1024.0,5.2,3.6,2.2,216.72475337982178,6502.142310142517,1.809239387512207,42.95551776885986
640,6,1280.0,4.666666666666667,640,6,2389.3333333333335,4.666666666666667,4.0,1.5,200.8354663848877,9605.04698753357,3.0596256256103516,60.062408447265625
640,6,1962.6666666666667,6.0,512,6,1194.6666666666667,5.0,5.666666666666667,1.8333333333333333,487.9114627838135,7271.354913711548,8.944511413574219,37.03951835632324
512,6,1792.0,6.0,640,4,2304.0,5.0,4.0,2.25,206.28368854522705,7647.109389305115,2.468228340148926,39.650797843933105
512,6,1280.0,4.0,640,5,1536.0,5.2,6.0,2.6,170.64547538757324,8014.764070510864,2.529144287109375,4.490852355957031
512,6,2048.0,3.6666666666666665,512,3,1536.0,4.0,6.0,2.0,210.02113819122314,5313.879013061523,8.59057903289795,8.040428161621094
512,6,1706.6666666666667,5.666666666666667,512,2,1792.0,6.0,4.0,1.5,203.69482040405273,4601.828694343567,17.969131469726562,1.9060373306274414
512,6,2474.6666666666665,3.3333333333333335,640,1,512.0,2.0,8.0,2.0,226.83608531951904,4466.21835231781,9.805798530578613,26.732802391052246
512,6,1706.6666666666667,4.0,640,4,1920.0,4.5,4.5,1.75,186.92386150360107,7322.689890861511,4.998564720153809,9.447455406188965
640,6,1621.3333333333333,4.666666666666667,640,1,3072.0,2.0,2.0,3.0,211.42542362213135,4847.186326980591,2.7822256088256836,0.4019737243652344
640,6,1365.3333333333333,3.3333333333333335,640,6,1621.3333333333333,4.333333333333333,6.0,2.1666666666666665,232.0568561553955,8939.743757247925,25.034427642822266,20.534038543701172
640,6,938.6666666666666,4.666666666666667,640,4,1024.0,4.0,4.0,2.75,183.55977535247803,6847.391366958618,6.991982460021973,1.1487007141113281
640,6,1365.3333333333333,4.0,640,4,2304.0,5.0,6.5,2.0,200.5620002746582,7612.854242324829,2.3283958435058594,5.648374557495117
