encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,1621.3333333333333,3.3333333333333335,512,6,1536.0,5.0,4.666666666666667,2.0,10.893836617469788,427.35451459884644,0.09408941864170162,13.481275679444103
512,6,1450.6666666666667,3.6666666666666665,512,1,1024.0,2.0,2.0,1.0,9.262621402740479,150.26187896728516,0.02637025619746642,16.689637926642302
640,6,1024.0,4.333333333333333,640,2,1536.0,6.0,6.0,2.0,9.583309292793274,205.4404467344284,0.05204708972766673,16.191862343724086
512,6,1280.0,4.0,512,6,2048.0,4.333333333333333,3.3333333333333335,2.3333333333333335,8.518442511558533,401.7935246229172,0.0316288405379185,9.448173027934423
512,6,2048.0,2.3333333333333335,512,6,2560.0,4.333333333333333,5.666666666666667,2.0,11.469870805740356,449.63838160037994,0.02999184369386249,16.523410551234942
640,6,1365.3333333333333,4.666666666666667,640,6,1877.3333333333333,3.0,7.0,2.0,9.175121784210205,434.12402272224426,0.04934188275062881,26.232553864081833
512,6,1280.0,5.333333333333333,512,4,1536.0,6.0,4.5,1.75,9.344160556793213,277.7498811483383,0.07474923896548295,9.094288050995619
512,6,1621.3333333333333,4.666666666666667,512,5,2252.8,4.8,2.8,2.0,8.71141254901886,330.6422829627991,0.027353625328939746,5.9421149500977055
640,6,1877.3333333333333,5.333333333333333,512,6,2560.0,4.0,2.6666666666666665,1.8333333333333333,9.913504123687744,401.09312534332275,0.338068954295739,17.30132258883615
512,6,1621.3333333333333,4.333333333333333,640,4,1408.0,5.0,3.5,1.75,8.992701768875122,286.5726500749588,0.21715839462694853,11.093082329426256
512,6,1792.0,5.0,640,4,1920.0,4.5,3.0,2.25,8.879303932189941,298.07914793491364,0.03839057389806813,7.3614532908744765
512,6,1280.0,3.6666666666666665,640,6,1536.0,4.0,5.333333333333333,2.6666666666666665,8.551210165023804,409.125417470932,0.03231428037717417,10.11847797864408
640,6,2304.0,4.666666666666667,512,1,1024.0,4.0,4.0,1.0,11.209085583686829,115.40363729000092,0.07724673285525378,5.077104948459005
512,6,2133.3333333333335,4.333333333333333,512,6,1365.3333333333333,4.333333333333333,4.666666666666667,1.8333333333333333,9.161636233329773,377.5601536035538,0.02117479124207017,7.344189177978364
640,6,2218.6666666666665,5.0,512,5,2355.2,4.0,4.4,2.6,9.710654616355896,347.6499319076538,0.02410401351557602,8.947286932721475
512,6,1280.0,3.3333333333333335,512,1,1024.0,2.0,2.0,3.0,8.446961641311646,117.64934659004211,0.03422125556754609,2.024297177037772
640,6,2048.0,3.6666666666666665,512,6,1365.3333333333333,5.333333333333333,4.666666666666667,2.5,9.737849235534668,404.9505293369293,0.10994764608561958,13.559545778216552
640,6,2133.3333333333335,5.666666666666667,512,5,1740.8,4.4,3.2,2.2,9.835094213485718,333.1051468849182,0.30023901334903985,6.86249520352875
640,6,1621.3333333333333,5.333333333333333,640,4,1408.0,4.5,4.0,2.0,11.88679039478302,286.13243997097015,0.8590171908826972,5.5228015838641
512,6,1877.3333333333333,4.666666666666667,512,6,2560.0,3.6666666666666665,3.0,2.1666666666666665,9.02421772480011,404.9226641654968,0.026702311249760777,25.380330741959334
640,6,1450.6666666666667,3.6666666666666665,640,5,2252.8,3.2,6.0,1.6,8.96577537059784,349.0743935108185,0.02655214242934308,8.592328721161866
512,6,1280.0,4.0,640,5,716.8,5.6,5.6,1.4,9.110555052757263,325.8573114871979,0.08564662605143095,2.4604377714052936
640,6,1877.3333333333333,6.0,512,6,1792.0,5.333333333333333,5.666666666666667,1.8333333333333333,10.318562388420105,396.1490988731384,0.23260619598544172,20.552990302828732
640,6,1792.0,3.0,512,1,2048.0,8.0,8.0,1.0,9.35181975364685,115.33865332603455,0.028270562188111834,1.7777303164646823
640,6,1621.3333333333333,5.0,640,2,2048.0,2.0,5.0,2.0,9.378761053085327,185.40093302726746,0.08215950050512699,1.4888940804017818
512,6,1280.0,3.6666666666666665,640,6,2730.6666666666665,4.333333333333333,3.6666666666666665,1.8333333333333333,8.807718753814697,441.4273202419281,0.23663537172851776,10.716746230962201
640,6,2048.0,3.6666666666666665,512,4,2304.0,3.0,5.0,1.25,10.287478566169739,307.5838088989258,0.024554396386121006,1.3466871362564456
640,6,1962.6666666666667,5.0,512,6,1365.3333333333333,5.333333333333333,3.6666666666666665,2.5,10.958820581436157,436.7371052503586,0.06943078330266651,1.7914167057328283
512,6,853.3333333333334,4.333333333333333,512,3,2389.3333333333335,4.666666666666667,5.333333333333333,2.3333333333333335,9.820029139518738,258.41209292411804,0.06391270282577727,1.2818143616019695
640,6,1280.0,6.333333333333333,512,6,1792.0,4.0,3.6666666666666665,2.5,10.210603475570679,443.4465765953064,0.04067351038710267,1.5615925992736237
640,6,1450.6666666666667,3.3333333333333335,640,3,1536.0,4.666666666666667,6.0,2.6666666666666665,10.48937439918518,274.13973212242126,0.029020285918794745,1.3706816142966118
512,6,2133.3333333333335,4.333333333333333,640,5,2048.0,6.0,4.0,1.2,10.468050837516785,377.64744460582733,0.049620515500649595,11.691497121245078
512,6,1621.3333333333333,3.3333333333333335,640,4,1664.0,5.0,5.0,2.5,8.816570043563843,296.3329255580902,0.07533389882976421,4.086253854406792
512,6,1280.0,4.666666666666667,640,4,1152.0,7.0,2.5,2.25,8.519694209098816,287.1936410665512,0.068448206178724,1.6675185466879667
512,6,1792.0,4.333333333333333,640,5,2252.8,3.6,5.2,2.0,9.107783436775208,348.93040359020233,0.23980903804684672,1.655166033651414
