encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
512,6,1280.0,4.0,512,2,2560.0,4.0,5.0,3.0,5.411143988370895,86.92388534545898,0.03260471535493719,1.0769554747527355
640,6,1280.0,4.666666666666667,512,3,1365.3333333333333,5.333333333333333,4.666666666666667,2.0,5.422151952981949,124.26964092254639,0.021463392002112003,1.3950249468593967
640,6,2389.3333333333335,4.666666666666667,640,3,2048.0,4.666666666666667,6.666666666666667,2.3333333333333335,5.531017988920212,125.89181184768677,0.07741847089938117,0.6082382782141011
512,6,2048.0,4.333333333333333,640,6,1450.6666666666667,2.3333333333333335,3.6666666666666665,2.6666666666666665,5.532169997692108,240.7013282775879,0.034551372810600514,1.0824395872784347
640,6,1280.0,4.666666666666667,640,3,2048.0,4.666666666666667,4.0,2.0,5.494119942188263,124.0583724975586,0.04720555158363162,0.5085520939114057
640,6,1280.0,5.333333333333333,512,1,3072.0,8.0,4.0,3.0,5.521182000637054,48.92573428153992,0.04037989163589827,0.20797630885282425
640,6,1877.3333333333333,4.333333333333333,640,5,1536.0,6.0,4.8,1.6,5.470919996500015,202.0597801208496,0.04269606447865174,2.936212331130521
640,6,1194.6666666666667,4.333333333333333,640,5,1843.2,5.2,5.2,2.0,5.642636001110077,206.6072177886963,0.0941277292311435,2.2999157647730883
512,6,1536.0,3.3333333333333335,640,5,1536.0,5.2,4.0,1.8,5.600508064031601,202.66721439361572,0.08833975995906518,1.7747690052087668
640,6,2304.0,4.666666666666667,640,2,1280.0,5.0,3.0,1.5,5.619306027889252,91.6328592300415,0.08784249726548034,2.565465295074873
640,6,1962.6666666666667,5.666666666666667,640,6,2133.3333333333335,5.0,3.0,1.6666666666666667,5.840139985084534,282.0385732650757,0.10834144519713133,22.621970772547048
640,6,2218.6666666666665,4.666666666666667,512,6,1024.0,4.333333333333333,6.666666666666667,2.0,7.243886023759842,251.7681884765625,0.09027973171397716,2.854630000475992
512,6,1962.6666666666667,3.3333333333333335,512,5,2150.4,6.0,4.4,2.4,5.593997985124588,210.01312351226807,0.07120884892127693,3.4385703691529272
512,6,1024.0,4.666666666666667,512,1,2048.0,2.0,8.0,1.0,5.923370003700256,50.583192348480225,0.12908181984668168,3.6051778104921484
640,6,1024.0,4.0,640,1,512.0,8.0,2.0,1.0,5.775877982378006,49.43923997879028,0.045503931309520226,0.5635667288652901
640,6,2133.3333333333335,2.6666666666666665,512,1,2048.0,4.0,4.0,2.0,5.636260032653809,49.90872597694397,0.09447775179594875,0.3697029734793961
640,6,1450.6666666666667,5.666666666666667,640,2,3072.0,5.0,4.0,1.5,5.5289300084114075,88.00027084350586,0.04336515716452108,1.2170806022579332
512,6,1536.0,3.6666666666666665,640,3,1024.0,6.666666666666667,4.666666666666667,3.0,5.588034003973007,132.7961940765381,0.06970614673013803,3.628083224970178
512,6,2133.3333333333335,4.0,640,6,1877.3333333333333,5.0,5.0,1.6666666666666667,5.523124009370804,251.04328441619873,0.09143754575727896,6.591146082262856
640,6,853.3333333333334,4.0,512,6,2218.6666666666665,2.3333333333333335,5.0,1.8333333333333333,5.647114008665085,251.0596799850464,0.12366554376047989,7.246904878625426
512,6,1536.0,3.6666666666666665,640,5,1331.2,4.8,7.2,1.4,5.649097979068756,208.9831142425537,0.09129076043909835,6.010594967238039
640,6,2048.0,5.0,512,2,2048.0,6.0,8.0,1.0,5.792418003082275,86.79733037948608,0.04997262979955115,1.2807687948752582
512,6,1536.0,3.0,640,4,1920.0,6.0,5.5,1.75,5.621150016784668,166.26665496826172,0.0878862966621395,3.210505144104463
640,6,1621.3333333333333,4.333333333333333,640,4,1920.0,4.5,6.0,2.0,5.75462606549263,166.70531845092773,0.04375666435719012,1.5097546821345482
512,6,1450.6666666666667,4.666666666666667,640,2,2560.0,5.0,5.0,1.5,5.67725196480751,87.40715026855469,0.11580074445844185,0.6593264296953857
512,6,1450.6666666666667,5.333333333333333,512,5,2150.4,5.6,2.4,2.4,5.66593199968338,210.33610248565674,0.09382532869528709,3.9355905182152053
640,6,1280.0,4.333333333333333,640,1,2048.0,4.0,2.0,1.0,5.54816010594368,48.75973176956177,0.06355695722850356,0.5915824441718481
512,6,1792.0,5.666666666666667,512,6,2048.0,4.0,4.666666666666667,1.3333333333333333,5.560936003923416,243.60662746429443,0.08520115253501341,2.714446804696905
640,6,1962.6666666666667,4.0,512,4,1152.0,4.5,8.0,2.5,5.5764579474925995,173.35239791870117,0.056672806652221235,3.6407058563901393
640,6,1280.0,3.6666666666666665,512,2,2560.0,8.0,8.0,2.0,5.631078064441681,89.42318344116211,0.08189078721442622,1.357711429714011
512,6,1962.6666666666667,4.333333333333333,640,6,1280.0,4.666666666666667,5.666666666666667,2.0,5.897388011217117,248.86681652069092,0.10354086967334174,5.245171352887768
512,6,2389.3333333333335,5.333333333333333,512,2,768.0,6.0,6.0,2.0,5.57463002204895,92.3772382736206,0.06207821984480827,2.208604643636414
512,6,1621.3333333333333,5.333333333333333,640,6,2218.6666666666665,5.333333333333333,4.0,1.6666666666666667,5.908032029867172,246.238299369812,0.0756456450820486,2.7298266393223813
640,6,1706.6666666666667,4.0,640,3,1877.3333333333333,5.333333333333333,6.666666666666667,3.0,5.677047997713089,136.35316371917725,0.08242843340320455,4.335844443365694
640,6,1194.6666666666667,5.333333333333333,512,4,1408.0,4.0,4.5,2.0,5.6691780388355255,169.1062774658203,0.08989564526687227,2.980800760031095
512,6,1536.0,4.333333333333333,640,5,1024.0,4.4,2.8,2.2,5.69567197561264,208.709942817688,0.10462006401101935,2.156350323696832
512,6,1792.0,3.0,512,1,1024.0,8.0,8.0,1.0,5.565391957759857,48.438803911209106,0.07650412446010753,0.5097107470913038
512,6,1962.6666666666667,4.0,512,1,3072.0,2.0,4.0,2.0,5.646201938390732,50.38959622383118,0.12697230176985821,0.7015879335053309
512,6,1877.3333333333333,4.666666666666667,640,4,1408.0,6.0,6.5,2.0,5.581831991672516,166.58098030090332,0.07614437854323251,2.4833539770990387
640,6,1706.6666666666667,4.0,640,5,2457.6,5.2,5.6,2.2,5.787129998207092,208.88368797302246,0.10118249701489211,2.2170614922553917
512,6,1280.0,5.333333333333333,640,2,1792.0,8.0,6.0,1.5,5.593146055936813,87.83905982971191,0.0708630627329059,0.5776681669615319
512,6,1536.0,5.0,640,1,2048.0,4.0,4.0,1.0,5.600381970405579,49.998974084854126,0.09925579615105437,1.447627468605549
640,6,1365.3333333333333,3.6666666666666665,512,1,1024.0,2.0,8.0,2.0,5.8744800090789795,50.22442436218262,0.19824590397348854,0.3548876191163376
640,6,1962.6666666666667,4.333333333333333,640,2,2560.0,2.0,2.0,1.0,5.963425904512405,85.41422080993652,0.07782254448719493,0.4072554793430012
512,6,1194.6666666666667,5.0,512,5,1945.6,3.6,3.2,2.2,5.982470005750656,205.79164218902588,0.14429371865855892,1.5584887685350977
512,6,1621.3333333333333,4.666666666666667,512,3,1706.6666666666667,2.6666666666666665,2.6666666666666665,2.0,5.596349984407425,129.99800825119019,0.08201399166090104,2.9757308330023498
640,6,1365.3333333333333,4.333333333333333,512,4,768.0,4.5,4.5,2.25,5.755816042423248,168.29442310333252,0.11798783453958651,2.4182341778666414
512,6,1536.0,5.0,512,3,3072.0,2.6666666666666665,5.333333333333333,1.3333333333333333,5.6140300035476685,125.12512016296387,0.08591568284185622,1.1807425314301305
640,6,1962.6666666666667,3.0,512,2,2048.0,6.0,2.0,2.0,5.7801240384578705,88.39359617233276,0.11431296497251354,0.733934090436423
640,6,1280.0,5.0,512,6,853.3333333333334,5.333333333333333,3.6666666666666665,2.1666666666666665,5.736152023077011,249.76944732666016,0.10326495483040904,5.231268967956793
640,6,1962.6666666666667,5.666666666666667,512,4,1280.0,6.0,4.0,2.75,5.651722013950348,170.36975765228271,0.06074943211235925,1.7630005443095635
640,6,2304.0,4.333333333333333,640,6,2133.3333333333335,4.666666666666667,4.333333333333333,1.1666666666666667,5.706649988889694,242.9120969772339,0.1456469909014926,3.2376243729698118
512,6,2218.6666666666665,4.666666666666667,512,5,1331.2,5.2,7.2,2.2,5.757711976766586,215.65874671936035,0.11972061374290673,5.952275558390881
640,6,1280.0,3.6666666666666665,512,6,1365.3333333333333,5.0,4.666666666666667,2.1666666666666665,5.661871999502182,250.59614086151123,0.11311212940534786,5.738915628019173
640,6,1109.3333333333333,5.333333333333333,512,5,1740.8,6.0,5.6,1.8,6.126601994037628,209.49756622314453,0.09524439232784349,3.9141649324353365
640,6,1450.6666666666667,5.333333333333333,640,6,1450.6666666666667,3.6666666666666665,4.333333333333333,2.0,5.583383947610855,250.96309280395508,0.0764054531032554,3.806760928512681
512,6,1450.6666666666667,6.0,640,1,1024.0,2.0,8.0,1.0,5.656527996063232,48.42209815979004,0.079408794555455,0.4615122665724769
640,6,1792.0,4.0,512,3,3072.0,4.666666666666667,3.3333333333333335,2.6666666666666665,5.655549973249435,130.14971923828125,0.10221084152163651,1.4718633159175405
512,6,1365.3333333333333,2.6666666666666665,512,4,1152.0,3.5,4.0,1.25,5.688357949256897,164.04645824432373,0.09821639522529596,1.2808800864768133
512,6,1706.6666666666667,4.0,640,2,1024.0,2.0,2.0,2.0,5.754704028367996,89.66355848312378,0.10269197404996033,2.7166935260233975
640,6,1621.3333333333333,5.666666666666667,640,2,1536.0,3.0,6.0,2.0,5.721761971712112,87.51101398468018,0.03215249069752493,0.543021513157529
640,6,1792.0,4.666666666666667,512,5,1126.4,4.8,4.8,2.2,5.689229995012283,209.00120067596436,0.2076626441162116,2.0861894931173803
512,6,1365.3333333333333,5.666666666666667,512,4,1408.0,8.0,5.0,2.5,5.571203917264938,173.57158851623535,0.06926642657380085,2.4396290181864684
640,6,1621.3333333333333,6.0,512,2,1792.0,8.0,6.0,2.0,5.580280005931854,91.86940860748291,0.0894473752953575,4.697510409856711
640,6,1365.3333333333333,2.3333333333333335,640,1,512.0,8.0,2.0,3.0,6.084235966205597,52.08607220649719,0.08810019536830344,0.4111255744664992
512,6,1280.0,2.6666666666666665,512,4,1920.0,3.5,4.5,2.5,5.615124076604843,167.97684860229492,0.10438703602096834,1.7367687357086843
640,6,2048.0,4.666666666666667,640,2,2560.0,3.0,2.0,2.0,5.625660002231598,89.30158376693726,0.10349044605236077,1.9096266529576151
512,6,2304.0,5.666666666666667,512,3,1365.3333333333333,6.666666666666667,2.6666666666666665,1.3333333333333333,6.083753973245621,126.59423780441284,0.06360416086824221,2.507356883205054
640,6,1877.3333333333333,7.0,512,1,512.0,4.0,2.0,3.0,5.812311977148056,51.45357823371887,0.08629526862367387,0.96878958184586
640,6,1877.3333333333333,4.0,512,1,3072.0,8.0,8.0,3.0,5.790365993976593,50.33589220046997,0.12320335205363503,0.4342940002530529
512,6,1877.3333333333333,4.666666666666667,640,3,1365.3333333333333,8.0,3.3333333333333335,2.0,5.542266011238098,135.062518119812,0.07402765460688748,5.556172590483448
640,6,1280.0,2.6666666666666665,512,1,2048.0,8.0,4.0,1.0,5.900306046009064,49.043816328048706,0.048178354440416245,1.163376999755764
640,6,768.0,3.6666666666666665,640,4,1664.0,5.5,5.0,1.5,5.78618398308754,169.79396724700928,0.0811119832105351,4.734026399242774
512,6,2218.6666666666665,4.333333333333333,640,3,1365.3333333333333,4.666666666666667,6.666666666666667,1.6666666666666667,5.6290479600429535,127.23123693466187,0.07782322179673398,1.4783702192497605
512,6,1792.0,4.666666666666667,640,6,2048.0,4.666666666666667,5.666666666666667,2.0,5.645336002111435,253.80032062530518,0.08638284817662366,5.25334869954739
512,6,1621.3333333333333,7.0,512,5,1638.4,4.4,5.2,2.8,5.573265939950943,212.33969593048096,0.060943821522184444,5.855953388066461
640,6,1536.0,6.0,512,6,1877.3333333333333,5.666666666666667,3.6666666666666665,2.1666666666666665,5.589676022529602,254.14941787719727,0.0843512056765694,7.604477086361787
512,6,1450.6666666666667,3.3333333333333335,512,1,3072.0,4.0,4.0,2.0,5.634237974882126,50.15581202507019,0.10974248002252994,0.5372403583544504
512,6,1365.3333333333333,5.0,640,2,512.0,8.0,4.0,2.0,5.615744024515152,88.88608407974243,0.09710744924438577,0.6688474440813783
512,6,1792.0,4.333333333333333,640,4,768.0,3.5,7.0,1.75,5.748075991868973,164.49774265289307,0.16196408941719764,1.0933102864250686
512,6,1706.6666666666667,3.6666666666666665,512,1,2048.0,2.0,8.0,2.0,5.637720018625259,50.12344980239868,0.08110129694947629,0.3378283679379093
640,6,2218.6666666666665,6.333333333333333,512,3,1024.0,8.0,6.666666666666667,2.0,5.681697994470596,129.05896949768066,0.10632915312579949,3.6166392509593304
640,6,1706.6666666666667,5.0,640,3,1365.3333333333333,4.0,5.333333333333333,2.3333333333333335,5.558241993188858,129.66331100463867,0.06900194996323239,1.0350126369078205
640,6,1621.3333333333333,4.333333333333333,640,6,1962.6666666666667,4.333333333333333,6.333333333333333,2.5,5.822761952877045,248.98779106140137,0.17276212497920945,2.123347460417664
640,6,1962.6666666666667,2.6666666666666665,640,4,1664.0,5.5,6.5,1.5,5.614044010639191,167.74324226379395,0.0789302987398233,4.580606935074825
512,6,1450.6666666666667,4.666666666666667,512,1,1024.0,8.0,8.0,1.0,5.837622046470642,48.972700119018555,0.07914290323941378,0.6762887962552014
512,6,1280.0,4.666666666666667,512,1,2048.0,4.0,4.0,3.0,5.629508048295975,51.797802209854126,0.0805717199488769,1.1964031405344435
512,6,1792.0,4.0,512,4,1408.0,4.0,5.5,2.25,5.803308039903641,169.2969264984131,0.05054961684858843,1.4671410705755972
512,6,1450.6666666666667,2.6666666666666665,512,1,512.0,2.0,4.0,2.0,5.608166009187698,49.97748017311096,0.1020110025311378,0.5986616173513368
640,6,1280.0,4.0,512,4,1920.0,3.5,2.5,2.75,6.032778054475784,170.4298553466797,0.1893943574961938,3.844767636500644
512,6,2048.0,4.0,640,4,1408.0,7.0,5.0,1.25,5.825490057468414,164.78530979156494,0.23604148283549392,2.0829237418295063
512,6,1621.3333333333333,5.0,640,6,1621.3333333333333,5.0,6.333333333333333,2.1666666666666665,5.680648028850555,250.79260635375977,0.11140919529930156,2.759438034424718
640,6,1450.6666666666667,5.666666666666667,512,3,1706.6666666666667,4.666666666666667,3.3333333333333335,2.0,5.5694420337677,133.80675792694092,0.07568473842391164,6.087743082340414
640,6,853.3333333333334,5.0,640,4,1280.0,4.5,3.0,2.0,5.597961992025375,172.923433303833,0.06719571931411163,1.8822434611882388
640,6,1792.0,5.0,640,1,1024.0,4.0,4.0,2.0,5.74484196305275,51.363834857940674,0.0443474228615426,1.221223331532475
512,6,1706.6666666666667,4.0,640,5,1843.2,2.8,4.4,2.2,6.178644001483917,211.09134101867676,0.06814406661459776,2.50516116851842
512,6,1792.0,4.666666666666667,640,5,2457.6,4.8,5.2,1.6,5.578284054994583,204.84595108032227,0.0871506867363525,1.8328504451282002
512,6,2048.0,4.666666666666667,640,2,768.0,5.0,4.0,1.5,5.8182699382305145,91.40964126586914,0.09706998228682881,3.5505982609699918
640,6,1194.6666666666667,4.0,512,3,1536.0,4.0,3.3333333333333335,2.0,5.73539999127388,130.6016116142273,0.07906964284805357,3.9151911293636483
640,6,1877.3333333333333,4.0,512,2,768.0,5.0,3.0,2.0,6.031430035829544,88.16454839706421,0.1244071287612953,1.0001509280444556
640,6,1280.0,4.666666666666667,512,5,1536.0,4.4,3.2,1.4,5.721500009298325,205.44827938079834,0.14711618214362374,1.9517830875694187
640,6,1365.3333333333333,3.6666666666666665,512,5,1433.6,4.4,4.8,2.0,5.6540380120277405,212.11028671264648,0.08136152525916754,3.0399406880733033
640,6,1450.6666666666667,4.333333333333333,640,3,1536.0,6.0,4.666666666666667,2.3333333333333335,5.559681981801987,129.6700415611267,0.056131443309862354,1.2491437270743229
512,6,1450.6666666666667,3.3333333333333335,512,1,1024.0,8.0,2.0,2.0,5.62321799993515,50.74626183509827,0.09512758530204335,1.0593251379389916
640,6,2133.3333333333335,3.6666666666666665,640,5,1740.8,5.2,3.6,1.6,5.581485986709595,205.48312187194824,0.06889719592725031,2.912328232762277
512,6,1877.3333333333333,7.0,512,4,1152.0,8.0,5.5,2.0,5.613335996866226,169.2757396697998,0.11881735106582614,1.8654218734709938
640,6,1450.6666666666667,5.333333333333333,512,5,1536.0,4.8,4.8,1.8,5.760455995798111,210.30314540863037,0.1220305377491119,3.1296828780409505
640,6,682.6666666666666,3.0,512,6,1877.3333333333333,4.0,2.6666666666666665,2.0,5.59686803817749,249.10623359680176,0.07796134450595027,2.597462301031271
512,6,938.6666666666666,3.6666666666666665,640,5,1024.0,5.6,4.4,2.0,5.624410003423691,207.56478309631348,0.07210216961155395,2.565551804957797
640,6,1877.3333333333333,4.333333333333333,640,6,1621.3333333333333,3.6666666666666665,3.6666666666666665,2.0,6.2373619973659515,248.69938468933105,0.10606936332150337,3.7950874630983034
512,6,1365.3333333333333,5.666666666666667,640,4,2048.0,5.0,4.0,1.5,5.7667399644851685,165.82533740997314,0.11308474008303528,1.9723933200977575
512,6,1450.6666666666667,3.3333333333333335,640,2,1792.0,4.0,8.0,2.0,5.579056024551392,91.35335874557495,0.10209428789746103,2.6269193995655984
